reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOHmkti1ZtBi_dfmP9C2wAqOuxQZ_kc-WIwpG7SDoiPVmDHf4a-53yL9v3AI646PiFKGxucYcOi01ghemzA,Raka S,https://play-lh.googleusercontent.com/a-/AOh14Ghcls9uEXcTswERroAvzLSPIAqDgvIH_x-KDxUm,"Aplikasi error, tidak bisa masuk.",1,3,1.11,2021-07-16 09:57:49,,,most_relevant,com.deepcovid19
gp:AOqpTOEBC3nse4ipdk9wDfg_D1E7rKfyLB8Qv3WuUyYq8Xh0Emk0FEuI-cBs4-G55dCbl_j_wUYkrFqtwY3hxAc,Adam Rambe Cover Song,https://play-lh.googleusercontent.com/a-/AOh14Gigeeaw05rXapiQf-JsetEGV0_P1rfvIxV8bWad,Alamat rumah gk bisa diganti. Tetep Jakarta pusat gk ada opsi utk buat alamat. Pencarian juga gk bisa harus scroll sendiri ke daerah tmpt tnggl. Cuma bisa liat data positif harian doang,1,57,1.11,2020-07-19 15:09:00,,,most_relevant,com.deepcovid19
gp:AOqpTOFKvSnigBPtPh_OGwgKQg2MeIbK8JyUjuqifzmG-8d98RaospRwk_RrPbLiqsYX-KoSchO7MvmVoj9iAnU,Mika Candra,https://play-lh.googleusercontent.com/a-/AOh14GiQsVJf-_1AK9lqyRDU6bM_m8rYdbpLkFa7Q2yTUQ,"malah bikin ragu, kemarin beberapa kota hampir semua merah, hari ini kok bersih, mana aplikasinya berat, peta gak detil, sportif dong, kalo rahasia ya jangan publikasi.",1,125,1.5,2020-05-23 01:37:12,,,most_relevant,com.deepcovid19
gp:AOqpTOF6RmLNuBVYh4ZnQbMaau8g_6IWsvLVtGRmv8MvST1872QbAgrxFF-n8H1LInidRJPUALufrCuwxFsGH8I,Khorido Hidayat,https://play-lh.googleusercontent.com/a-/AOh14GiKbJKWSr1LjGf8X7ssmQemzZqTbh260Ovk6ex4gA,"Datanya ngga akurat, mohon diperbaiki, saya kira masih banyak anak bangsa yang bisa berkarya memperbaiki app ini. Coba dibuka lowongannya, diseleksi yang benar dan matang. Tx",1,10,,2020-07-11 06:01:10,,,most_relevant,com.deepcovid19
gp:AOqpTOEPMJiLAkvSkd9y_VR-gAE6qu0dxLjFsi5Le5tVRqx-e4XwQIhtphYXMXZPoEJIetoM5eSiXjyqOC5NkQM,Chafidhu Dzikri Ach.,https://play-lh.googleusercontent.com/a-/AOh14GhA_Makwh33VIdtk4K-1UDV8OwBGqC68J6akzl_7A,Kopid itu anosmia. Udah cukup. Itu aja,1,4,1.11,2021-06-17 14:50:44,,,most_relevant,com.deepcovid19
gp:AOqpTOE0VXfm6xhpRy7YkFJ_3MOzzlrM192w6zwvu8Jpx2fOSG1ymGCibNj7S3iS4KuIgGMxfk0P66B4t1syoJE,Ibron,https://play-lh.googleusercontent.com/a/AATXAJzT3cXSR1OLfLdt3IPITspjM3SEDLkBLXJ6dntE=mo,"Gak mau di buka,buka.,",1,0,1.11,2021-07-21 12:03:07,,,most_relevant,com.deepcovid19
gp:AOqpTOERpdhhjYnjxWKjSL2NUHAPCf49rNuGxuFRdIbUQPZQ3Bb3s4LmbIxcQk6VxrLVD4wVCl1fPEni10f1cn8,Yuwens Diana,https://play-lh.googleusercontent.com/a/AATXAJzRA0LOPjrpWQjZkNLaIRjiOkeuqeWlPGU7VXAk=mo,Mudah2an tidak ada lg lonjakan covid di seluruh indonesia.......amiiiin.......,1,3,1.11,2021-05-25 10:01:56,,,most_relevant,com.deepcovid19
gp:AOqpTOEJnHklB11YrvRsP9Z7oOtqpnUav-zj7PUqnT_8RnjzHhN-WvgezjZbSip-q0-sM4U-HoKqwWQ25Hga1Uw,firman syah,https://play-lh.googleusercontent.com/a/AATXAJyIbAVfqMqGiozcQaK3ivhGVsST5DWEMmBUz9pe=mo,"Tiba2 pengaturan akses lokasi di paksa sepanjang waktu , tidak bisa opsi sewaktu di pakai saja, baterai ku jd boros y sialan lh",1,21,1.11,2021-04-20 05:18:04,,,most_relevant,com.deepcovid19
gp:AOqpTOE91bhqVCtCxV1lkVYgMAxEVECqmwcQpHUT5Bmnk2_N8g4RUXCaDyu6M-wHqbpdn0gopUWPUlNhtuduK_Q,RASKLRAMADA ABIDIN,https://play-lh.googleusercontent.com/a-/AOh14GhEJbXRxSVDK8nDI1MagUdjrQvOLBKj-eM_WnBYrQ,Waktu baru register bisa dibuka tapi tiba tiba balik ke play store di klik buka berhenti sampai logo bersatu lawan covid ditunggu sampai lama gak berubah sudah coba hp dimatikan dan di hidupi lagi tapi tetap sampai logo terus gak berubah lagi,1,40,1.4,2020-05-15 13:54:58,Terima kasih atas masukannya Kak. Saat ini kami sudah update aplikasi. Silakan coba register lagi ya Kak 😊,2020-06-09 03:52:13,most_relevant,com.deepcovid19
gp:AOqpTOFm9yECR8LuKxxSCMqpxIvD0OeLFOqTqvxFHmvG_zMd057KsWRhP_4D__heOFQe9S2iehA_brm2vuSPFyw,Regina Putri,https://play-lh.googleusercontent.com/a-/AOh14Gh5co-9VgygldIxh57rOZ-gfPsU2bdKdHIgyvIY8A,"Registrasi pakai nomer hp saya,namun sudah yang ke 3 kalinya tidak ada kode verifikasi muncul 😩😩😩 mohon penjelasan nya dan tolong atasi kekurangan aplikasinya 🙏",1,59,1.2,2020-05-03 00:39:00,Terima kasih atas masukannya Kak. Saat ini kami sudah update aplikasi. Silakan coba register lagi ya Kak 😊,2020-06-09 04:06:40,most_relevant,com.deepcovid19
